Table,Field,Type,Constraints,extract_tours,link_trip
households,hh_id,int,≥ 1,x,
households,home_lat,float,≥ -90, ≤ 90,x,
households,home_lon,float,≥ -180, ≤ 180,x,
persons,person_id,int,≥ 1,x,
persons,hh_id,int,≥ 1,,
persons,age,AgeCategory,,x,
persons,work_lat,float or None,≥ -90, ≤ 90,x,
persons,work_lon,float or None,≥ -180, ≤ 180,x,
persons,school_lat,float or None,≥ -90, ≤ 90,x,
persons,school_lon,float or None,≥ -180, ≤ 180,x,
persons,person_type,PersonType,,x,
persons,employment,Employment,,x,
persons,student,Student,,x,
persons,school_type,data_canon.codebook.persons.SchoolType or None,,x,
days,person_id,int,≥ 1,,
days,day_id,int,≥ 1,,
days,hh_id,int,≥ 1,,
days,travel_dow,TravelDow,,,
unlinked_trips,trip_id,int,≥ 1,,
unlinked_trips,day_id,int,≥ 1,,
unlinked_trips,person_id,int,≥ 1,,
unlinked_trips,hh_id,int,≥ 1,,
unlinked_trips,linked_trip_id,int,≥ 1,x,
unlinked_trips,tour_id,int,≥ 1,x,
unlinked_trips,depart_date,datetime,,,
unlinked_trips,depart_hour,int,≥ 0, ≤ 23,,
unlinked_trips,depart_minute,int,≥ 0, ≤ 59,,
unlinked_trips,depart_seconds,int,≥ 0, ≤ 59,,
unlinked_trips,arrive_date,datetime,,,
unlinked_trips,arrive_hour,int,≥ 0, ≤ 23,,
unlinked_trips,arrive_minute,int,≥ 0, ≤ 59,,
unlinked_trips,arrive_seconds,int,≥ 0, ≤ 59,,
unlinked_trips,o_lon,float,≥ -180, ≤ 180,,x
unlinked_trips,o_lat,float,≥ -90, ≤ 90,,x
unlinked_trips,d_lon,float,≥ -180, ≤ 180,,x
unlinked_trips,d_lat,float,≥ -90, ≤ 90,,x
unlinked_trips,o_purpose,Purpose,,,
unlinked_trips,d_purpose,Purpose,,,
unlinked_trips,o_purpose_category,PurposeCategory,,,x
unlinked_trips,d_purpose_category,PurposeCategory,,,x
unlinked_trips,mode_type,ModeType,,,x
unlinked_trips,duration_minutes,float,≥ 0,,
unlinked_trips,distance_miles,float,≥ 0,,
unlinked_trips,depart_time,datetime.datetime or None,,x,x
unlinked_trips,arrive_time,datetime.datetime or None,,x,x
linked_trips,day_id,int,≥ 1,x,
linked_trips,person_id,int,≥ 1,,
linked_trips,hh_id,int,≥ 1,,
linked_trips,linked_trip_id,int,≥ 1,,
linked_trips,tour_id,int,≥ 1,,
linked_trips,depart_date,datetime,,,
linked_trips,depart_hour,int,≥ 0, ≤ 23,,
linked_trips,depart_minute,int,≥ 0, ≤ 59,,
linked_trips,depart_seconds,int,≥ 0, ≤ 59,,
linked_trips,arrive_date,datetime,,,
linked_trips,arrive_hour,int,≥ 0, ≤ 23,,
linked_trips,arrive_minute,int,≥ 0, ≤ 59,,
linked_trips,arrive_seconds,int,≥ 0, ≤ 59,,
linked_trips,o_purpose_category,int,,,
linked_trips,d_purpose_category,int,,x,
linked_trips,mode_type,ModeType,,x,
linked_trips,duration_minutes,float,≥ 0,,
linked_trips,distance_miles,float,≥ 0,,
linked_trips,depart_time,datetime,,,
linked_trips,arrive_time,datetime,,,
tours,tour_id,int,≥ 1,,
tours,person_id,int,≥ 1,,
tours,day_id,int,≥ 1,,
tours,tour_sequence_num,int,≥ 1,,
tours,tour_category,str,,,
tours,parent_tour_id,int or None,≥ 1,,
tours,primary_purpose,int,≥ 1,,
tours,primary_dest_purpose,int,≥ 1,,
tours,purpose_priority,int,≥ 1,,
tours,origin_depart_time,datetime,,,
tours,dest_arrive_time,datetime,,,
tours,dest_depart_time,datetime,,,
tours,origin_arrive_time,datetime,,,
tours,o_lat,float,≥ -90, ≤ 90,,
tours,o_lon,float,≥ -180, ≤ 180,,
tours,d_lat,float,≥ -90, ≤ 90,,
tours,d_lon,float,≥ -180, ≤ 180,,
tours,o_location_type,str,,,
tours,d_location_type,str,,,
tours,tour_mode,ModeType,,,
tours,outbound_mode,int,≥ 1,,
tours,inbound_mode,int,≥ 1,,
tours,num_outbound_stops,int,≥ 0,,
tours,num_inbound_stops,int,≥ 0,,
tours,is_primary_tour,bool,,,
tours,tour_starts_at_origin,bool,,,
tours,tour_ends_at_origin,bool,,,